inci_no,Year,Season,Alm_Date,Address,Incident Type,Incident Type Number,Inci_type,Content_Loss,Property_Loss,Total_Loss,Pre_Inci_Value,Saved
11341,2012,Summer,5/7/2012,1327 TEMPLE 1 City of Louisville KY 40210,Outside Fire,162,162 - Outside equipment fire,0,100,100,49000,48900
11443,2012,Summer,5/8/2012,934 FRANKLIN n/a City of Louisville KY 40206,Structure Fire,111,111 - Building fire,10000,80000,90000,96960,6960
11762,2012,Summer,5/11/2012,ALLMOND City of Louisville KY 40209,Outside Fire,162,162 - Outside equipment fire,5000,0,5000,0,-5000
11678,2012,Summer,5/11/2012,S 35TH City of Louisville KY 40211,Vehicle Fire,131,131 - Passenger vehicle fire,0,11000,11000,11000,0
11684,2012,Summer,5/11/2012,3565 FINCASTLE N/A City of Audubon Park KY 40213,Structure Fire,111,111 - Building fire,100,0,100,200000,199900
11759,2012,Summer,5/11/2012,412 W LEE n/a City of Louisville KY 40217,Vehicle Fire,131,131 - Passenger vehicle fire,2500,2500,5000,2500,-2500
11799,2012,Summer,5/12/2012,743 S SHELBY N/A City of Louisville KY 40203,Structure Fire,111,111 - Building fire,4000,50000,54000,150000,96000
11828,2012,Summer,5/12/2012,1839 W GAULBERT N/A City of Louisville KY 40210,Structure Fire,111,111 - Building fire,0,50,50,50,0
11846,2012,Summer,5/12/2012,1680 I 264 East N/A City of Cambridge KY 40220,Vehicle Fire,131,131 - Passenger vehicle fire,0,7500,7500,7500,0
11871,2012,Summer,5/13/2012,1501 DIXIE N/A City of Louisville KY 40210,Vehicle Fire,131,131 - Passenger vehicle fire,0,15000,15000,35000,20000
11901,2012,Summer,5/13/2012,1101 E WASHINGTON N/A City of Louisville KY 40206,Structure Fire,111,111 - Building fire,500,10000,10500,450000,439500
11934,2012,Summer,5/13/2012,4122 S 2ND n/a City of Louisville KY 40214,Structure Fire,111,111 - Building fire,5000,20000,25000,120000,95000
11941,2012,Summer,5/14/2012,1361 S FLOYD 14 City of Louisville KY 40208,Structure Fire,111,111 - Building fire,0,500,500,500,0
12016,2012,Summer,5/14/2012,107 FENLEY S-2 City of Beechwood Village KY 40207,Vehicle Fire,131,131 - Passenger vehicle fire,0,3000,3000,3000,0
12163,2012,Summer,5/16/2012,425 WARNOCK n/a City of Louisville KY 40217,Vehicle Fire,131,131 - Passenger vehicle fire,300,5000,5300,5000,-300
12250,2012,Summer,5/17/2012,530 AMY 1 City of Louisville KY 40211,Structure Fire,113,"113 - Cooking fire, confined to container",150,0,150,NULL,NULL
12288,2012,Summer,5/17/2012,CONN City of Louisville KY 40215,Vehicle Fire,131,131 - Passenger vehicle fire,1000,9000,10000,9000,-1000
12383,2012,Summer,5/18/2012,3314 W MAIN n/a City of Louisville KY 40212,Structure Fire,111,111 - Building fire,0,25000,25000,50000,25000
12425,2012,Summer,5/18/2012,7417 STEEPLECREST 304 City of Bancroft KY 40222,Structure Fire,111,111 - Building fire,5000,15000,20000,500000,480000
12436,2012,Summer,5/19/2012,1200 I 264 East n/a City of Audubon Park KY 40213,Vehicle Fire,131,131 - Passenger vehicle fire,0,4000,4000,4000,0
12499,2012,Summer,5/19/2012,S 9TH City of Louisville KY 40208,Vehicle Fire,131,131 - Passenger vehicle fire,0,1000,1000,2000,1000
12526,2012,Summer,5/19/2012,409 E MUHAMMAD ALI 1106 City of Louisville KY 40202,Structure Fire,111,111 - Building fire,500,200,700,200,-500
12529,2012,Summer,5/19/2012,1708 W OAK N/A City of Louisville KY 40210,Structure Fire,112,112 - Fires in structure other than in a building,0,300,300,300,0
12538,2012,Summer,5/19/2012,1718 W JEFFERSON N/A City of Louisville KY 40203,Structure Fire,111,111 - Building fire,0,20000,20000,150000,130000
12845,2012,Summer,5/23/2012,719 SUTCLIFFE n/a City of Louisville KY 40211,Vehicle Fire,131,131 - Passenger vehicle fire,0,2875,2875,2875,0
12846,2012,Summer,5/23/2012,402 N HITE n/a City of Louisville KY 40206,Vehicle Fire,131,131 - Passenger vehicle fire,0,5000,5000,25000,20000
12958,2012,Summer,5/24/2012,2804 7TH STREET N/A City of Louisville KY 40215,Structure Fire,111,111 - Building fire,100000,120000,220000,120000,-100000
13033,2012,Summer,5/24/2012,S 2ND City of Louisville KY 40202,Outside Fire,151,"151 - Outside rubbish, trash or waste fire",0,200,200,200,0
13034,2012,Summer,5/24/2012,555 S 2ND on sidewalk City of Louisville KY 40202,Outside Fire,151,"151 - Outside rubbish, trash or waste fire",0,200,200,200,0
13058,2012,Summer,5/24/2012,2045 RIVER na City of Louisville KY 40206,Outside Fire,162,162 - Outside equipment fire,0,200000,200000,2000000,1800000
13073,2012,Summer,5/25/2012,3520 LEITH N/A City of Louisville KY 40218,Vehicle Fire,137,137 - Camper or recreational vehicle (RV) fire,5000,25000,30000,25000,-5000
13182,2012,Summer,5/26/2012,2640 FRANKFORT N/A City of Louisville KY 40206,Structure Fire,111,111 - Building fire,0,500,500,200000,199500
13213,2012,Summer,5/26/2012,12980 I 65 North n/a City of Audubon Park KY 40213,Vehicle Fire,131,131 - Passenger vehicle fire,0,2000,2000,4000,2000
13316,2012,Summer,5/27/2012,3003 SHOREHAM n/a City of Louisville KY 40216,Structure Fire,111,111 - Building fire,5000,20000,25000,60000,35000
13316,2012,Summer,5/27/2012,3005 SHOREHAM n/a City of Louisville KY 40216,Structure Fire,111,111 - Building fire,2500,10000,12500,60000,47500
13369,2012,Summer,5/28/2012,2827 HALE N/A City of Louisville KY 40211,Structure Fire,112,112 - Fires in structure other than in a building,0,50000,50000,250000,200000
13395,2012,Summer,5/28/2012,12980 I 65 North NA City of Audubon Park KY 40213,Vehicle Fire,131,131 - Passenger vehicle fire,500,1500,2000,1500,-500
13449,2012,Summer,5/29/2012,602 RUGGLES 323 City of Louisville KY 40208,Structure Fire,111,111 - Building fire,15000,150000,165000,1250000,1085000
13498,2012,Summer,5/29/2012,3126 MYLANTA N/A City of Cambridge KY 40220,Structure Fire,113,"113 - Cooking fire, confined to container",1000,0,1000,0,-1000
13503,2012,Summer,5/29/2012,4400BLK MANSLICK na City of Louisville KY 40216,Vehicle Fire,131,131 - Passenger vehicle fire,1000,3000,4000,7000,3000
13795,2012,Summer,6/1/2012,1704 LIBERTY BELL 4 City of Louisville KY 40215,Structure Fire,111,111 - Building fire,25000,60000,85000,160000,75000
13844,2012,Summer,6/2/2012,2905 ROWAN 0 City of Louisville KY 40212,Vehicle Fire,130,"130 - Mobile property (vehicle) fire, other",0,10000,10000,10000,0
13865,2012,Summer,6/2/2012,2018 VILLAGE 3 City of Kingsley KY 40205,Structure Fire,113,"113 - Cooking fire, confined to container",200,0,200,0,-200
13955,2012,Summer,6/3/2012,441 WILBERFORCE N/A City of Louisville KY 40203,Structure Fire,111,111 - Building fire,0,1000,1000,7310230,7309230
13963,2012,Summer,6/3/2012,1204 POTOMAC na City of Louisville KY 40214,Structure Fire,111,111 - Building fire,0,700,700,700,0
14005,2012,Summer,6/4/2012,1210 CECIL n/a City of Louisville KY 40211,Structure Fire,111,111 - Building fire,10000,20000,30000,46480,16480
14236,2012,Summer,6/6/2012,305 E KENTUCKY 1 City of Louisville KY 40203,Structure Fire,113,"113 - Cooking fire, confined to container",150,0,150,0,-150
14274,2012,Summer,6/6/2012,1812 LYTLE N/A City of Louisville KY 40203,Structure Fire,111,111 - Building fire,1000,30000,31000,30000,-1000
14276,2012,Summer,6/6/2012,1614 CYPRESS na City of Louisville KY 40210,Vehicle Fire,131,131 - Passenger vehicle fire,0,2500,2500,2500,0
14330,2012,Summer,6/7/2012,4733 S 1ST 1 City of Louisville KY 40214,Structure Fire,113,"113 - Cooking fire, confined to container",2000,2000,4000,2000,-2000
14380,2012,Summer,6/7/2012,S 30TH City of Louisville KY 40211,Vehicle Fire,130,"130 - Mobile property (vehicle) fire, other",0,500,500,500,0
14392,2012,Summer,6/8/2012,4303 GREENWOOD na City of Louisville KY 40211,Structure Fire,111,111 - Building fire,0,12000,12000,40000,28000
14410,2012,Summer,6/8/2012,1507 S 35TH n/a City of Louisville KY 40211,Structure Fire,111,111 - Building fire,10000,20000,30000,56410,26410
14484,2012,Summer,6/8/2012,1200 MAPLE n/a City of Louisville KY 40210,Structure Fire,111,111 - Building fire,5000,5000,10000,1168600,1158600
14532,2012,Summer,6/9/2012,170 BRECKINRIDGE n/a City of Cambridge KY 40220,Outside Fire,160,"160 - Special outside fire, other",0,250,250,1000,750
14546,2012,Summer,6/9/2012,1031 EVERETT 2 City of Louisville KY 40204,Structure Fire,111,111 - Building fire,500,500,1000,500000,499000
14594,2012,Summer,6/10/2012,S 7TH City of Louisville KY 40202,Vehicle Fire,131,131 - Passenger vehicle fire,0,2500,2500,2500,0
14773,2012,Summer,6/11/2012,S 3RD City of Louisville KY 40202,Outside Fire,151,"151 - Outside rubbish, trash or waste fire",0,200,200,200,0
14867,2012,Summer,6/12/2012,CONN City of Louisville KY 40215,Outside Fire,151,"151 - Outside rubbish, trash or waste fire",0,200,200,200,0
14892,2012,Summer,6/13/2012,2320 COLUMBIA N/A City of Louisville KY 40212,Structure Fire,111,111 - Building fire,0,20000,20000,20000,0
14937,2012,Summer,6/13/2012,1719 W KENTUCKY room City of Louisville KY 40210,Structure Fire,111,111 - Building fire,150,0,150,NULL,NULL
14988,2012,Summer,6/13/2012,102 KENWOOD 44 City of Louisville KY 40214,Structure Fire,113,"113 - Cooking fire, confined to container",50,1000,1050,200000,198950
14892,2012,Summer,6/13/2012,2318 COLUMBIA N/A City of Louisville KY 40212,Structure Fire,111,111 - Building fire,4000,25000,29000,45000,16000
14892,2012,Summer,6/13/2012,2319 ROWAN N/A City of Louisville KY 40212,Structure Fire,111,111 - Building fire,0,5000,5000,18000,13000
14892,2012,Summer,6/13/2012,2319 Rowan N/A City of Louisville KY 40212,Outside Fire,161,161 - Outside storage fire,0,1000,1000,2000,1000
14892,2012,Summer,6/13/2012,2319 ROWAN N/A City of Louisville KY 40212,Structure Fire,111,111 - Building fire,0,500,500,31500,31000
15011,2012,Summer,6/14/2012,1739 BOLLING room City of Louisville KY 40210,Structure Fire,111,111 - Building fire,6000,10000,16000,21000,5000
15091,2012,Summer,6/15/2012,HIAWATHA City of Louisville KY 40209,Vehicle Fire,131,131 - Passenger vehicle fire,0,3000,3000,3000,0
15268,2012,Summer,6/16/2012,657 BARRET N/A City of Louisville KY 40204,Vehicle Fire,130,"130 - Mobile property (vehicle) fire, other",0,200,200,200,0
15340,2012,Summer,6/17/2012,2600 LE BLANC 8 City of Louisville KY 40206,Structure Fire,111,111 - Building fire,4000,10000,14000,520000,506000
15405,2012,Summer,6/18/2012,300 S Clay 303 City of Louisville KY 40202,Structure Fire,111,111 - Building fire,1500,2000,3500,300000,296500
15422,2012,Summer,6/18/2012,S 3RD City of Louisville KY 40214,Vehicle Fire,131,131 - Passenger vehicle fire,0,500,500,10000,9500
15518,2012,Summer,6/19/2012,447 S 32ND na City of Louisville KY 40212,Structure Fire,111,111 - Building fire,10000,20000,30000,20000,-10000
15691,2012,Summer,6/21/2012,1835 CARL NA City of Louisville KY 40215,Outside Fire,161,161 - Outside storage fire,0,200,200,300,100
15697,2012,Summer,6/21/2012,913 DRESDEN na City of Louisville KY 40215,Structure Fire,111,111 - Building fire,0,10000,10000,70000,60000
15735,2012,Summer,6/21/2012,4411 S 2ND n/a City of Louisville KY 40214,Vehicle Fire,131,131 - Passenger vehicle fire,0,2000,2000,4000,2000
15758,2012,Summer,6/21/2012,3819 RIVER PARK N/A City of Louisville KY 40211,Structure Fire,111,111 - Building fire,0,500,500,50000,49500
15761,2012,Summer,6/21/2012,404 S 41ST N/A City of Louisville KY 40212,Structure Fire,111,111 - Building fire,0,10000,10000,60000,50000
15779,2012,Summer,6/21/2012,13200 I 65 North n/a City of Audubon Park KY 40213,Vehicle Fire,131,131 - Passenger vehicle fire,0,4000,4000,4000,0
15811,2012,Summer,6/22/2012,315 S 10TH n\a City of Louisville KY 40203,Structure Fire,111,111 - Building fire,0,100,100,100,0
15884,2012,Summer,6/22/2012,S 25TH City of Louisville KY 40210,Vehicle Fire,130,"130 - Mobile property (vehicle) fire, other",0,7000,7000,7000,0
15884,2012,Summer,6/22/2012,2333 W Lee N/A City of Louisville KY 40210,Vehicle Fire,130,"130 - Mobile property (vehicle) fire, other",0,7000,7000,26000,19000
15997,2012,Summer,6/24/2012,3662 ELDERWOOD NA City of Louisville KY 40215,Outside Fire,160,"160 - Special outside fire, other",200,500,700,5000,4300
16008,2012,Summer,6/24/2012,BARDSTOWN City of Kingsley KY 40205,Outside Fire,160,"160 - Special outside fire, other",20,50,70,50,-20
16009,2012,Summer,6/24/2012,2111 CEDAR N/A City of Louisville KY 40212,Structure Fire,111,111 - Building fire,5000,23580,28580,23580,-5000
16064,2012,Summer,6/24/2012,1446 BELMAR N/A City of Audubon Park KY 40213,Outside Fire,143,143 - Grass fire,0,500,500,25000,24500
16077,2012,Summer,6/24/2012,TAYLOR City of Louisville KY 40215,Outside Fire,140,"140 - Natural vegetation fire, other",0,400,400,600,200
16009,2012,Summer,6/24/2012,2109 CEDAR N/A City of Louisville KY 40212,Structure Fire,111,111 - Building fire,10000,22440,32440,22440,-10000
16009,2012,Summer,6/24/2012,2113 CEDAR N/A City of Louisville KY 40212,Structure Fire,111,111 - Building fire,15000,20610,35610,20610,-15000
16009,2012,Summer,6/24/2012,2115 CEDAR N/A City of Louisville KY 40212,Structure Fire,111,111 - Building fire,0,1000,1000,20610,19610
16153,2012,Summer,6/25/2012,I 264 East n/a City of Louisville KY 40215,Vehicle Fire,131,131 - Passenger vehicle fire,0,500,500,500,0
16231,2012,Summer,6/26/2012,2211 OSAGE n/a City of Louisville KY 40210,Structure Fire,111,111 - Building fire,0,400,400,400,0
16238,2012,Summer,6/26/2012,313 SOUTHWESTERN None City of Louisville KY 40212,Structure Fire,111,111 - Building fire,0,200,200,5000,4800
16388,2012,Summer,6/28/2012,1526 HEMLOCK n/a City of Louisville KY 40211,Structure Fire,112,112 - Fires in structure other than in a building,0,10000,10000,30000,20000
16394,2012,Summer,6/28/2012,W MUHAMMAD ALI City of Louisville KY 40212,Vehicle Fire,131,131 - Passenger vehicle fire,0,2000,2000,2000,0
16423,2012,Summer,6/28/2012,510 W BROADWAY n/a City of Louisville KY 40202,Vehicle Fire,131,131 - Passenger vehicle fire,0,3500,3500,3500,0
16448,2012,Summer,6/28/2012,950 I 264 West n/a City of Louisville KY 40209,Vehicle Fire,131,131 - Passenger vehicle fire,0,3000,3000,3000,0
16423,2012,Summer,6/28/2012,510 W BROADWAY n/a City of Louisville KY 40202,Vehicle Fire,131,131 - Passenger vehicle fire,0,1500,1500,10000,8500
16494,2012,Summer,6/28/2012,1521 HALE N/A City of Louisville KY 40210,Structure Fire,111,111 - Building fire,0,15000,15000,35000,20000
16641,2012,Summer,6/30/2012,2316 DUMESNIL N/A City of Louisville KY 40210,Vehicle Fire,131,131 - Passenger vehicle fire,0,1000,1000,3000,2000
16645,2012,Summer,6/30/2012,3422 TAYLOR N/A City of Louisville KY 40215,Structure Fire,113,"113 - Cooking fire, confined to container",8000,2000,10000,318000,308000
16720,2012,Summer,6/30/2012,900 I 264 East NA City of Louisville KY 40215,Vehicle Fire,131,131 - Passenger vehicle fire,500,2000,2500,2000,-500
16724,2012,Summer,6/30/2012,1885 BROWNSBORO N/A City of Louisville KY 40206,Structure Fire,111,111 - Building fire,0,10000,10000,125000,115000
16753,2012,Summer,7/1/2012,BARDSTOWN City of Kingsley KY 40205,Outside Fire,154,154 - Dumpster or other outside trash receptacle fire,0,10,10,10,0
16821,2012,Summer,7/1/2012,4303 S 3RD n/a City of Louisville KY 40214,Structure Fire,111,111 - Building fire,20000,40000,60000,140000,80000
16974,2012,Summer,7/2/2012,816 DRESDEN 0 City of Louisville KY 40215,Vehicle Fire,134,134 - Water vehicle fire,0,500,500,500,0
16976,2012,Summer,7/2/2012,S 16TH City of Louisville KY 40210,Structure Fire,111,111 - Building fire,1500,2500,4000,37090,33090
17023,2012,Summer,7/2/2012,651 S 39TH n/a City of Louisville KY 40211,Vehicle Fire,131,131 - Passenger vehicle fire,0,1000,1000,1000,0
17066,2012,Summer,7/3/2012,1907 S 4TH N/A City of Louisville KY 40208,Vehicle Fire,131,131 - Passenger vehicle fire,0,500,500,2000,1500
17076,2012,Summer,7/3/2012,1915 S 4TH n/a City of Louisville KY 40208,Vehicle Fire,131,131 - Passenger vehicle fire,0,700,700,2000,1300
17102,2012,Summer,7/3/2012,3636 MANSLICK n/a City of Louisville KY 40215,Vehicle Fire,131,131 - Passenger vehicle fire,0,1000,1000,1000,0
17105,2012,Summer,7/3/2012,2247 W KENTUCKY N/A City of Louisville KY 40210,Vehicle Fire,130,"130 - Mobile property (vehicle) fire, other",0,2000,2000,2000,0
17190,2012,Summer,7/4/2012,VIRGINIA NA City of Louisville KY 40211,Vehicle Fire,131,131 - Passenger vehicle fire,0,2000,2000,2000,0
17209,2012,Summer,7/4/2012,2016 GARLAND n/a City of Louisville KY 40210,Outside Fire,142,142 - Brush or brush-and-grass mixture fire,0,5000,5000,10000,5000
17251,2012,Summer,7/4/2012,2831 W MARKET 2 City of Louisville KY 40212,Vehicle Fire,131,131 - Passenger vehicle fire,0,500,500,3000,2500
17265,2012,Summer,7/5/2012,413 MARRET n/a City of Louisville KY 40208,Structure Fire,111,111 - Building fire,0,10000,10000,10000,0
17284,2012,Summer,7/5/2012,S 19TH City of Louisville KY 40203,Vehicle Fire,131,131 - Passenger vehicle fire,0,10000,10000,10000,0
17303,2012,Summer,7/5/2012,S 6TH City of Louisville KY 40202,Vehicle Fire,131,131 - Passenger vehicle fire,1000,5000,6000,5000,-1000
17350,2012,Summer,7/5/2012,1033 S JACKSON N/A City of Louisville KY 40203,Vehicle Fire,131,131 - Passenger vehicle fire,200,1000,1200,2000,800
17265,2012,Summer,7/5/2012,413 MARRET n/a City of Louisville KY 40208,Structure Fire,111,111 - Building fire,0,3000,3000,73000,70000
17388,2012,Summer,7/6/2012,4305 GREENWOOD n/a City of Louisville KY 40211,Structure Fire,111,111 - Building fire,0,500,500,50000,49500
17395,2012,Summer,7/6/2012,2626 W KENTUCKY n/a City of Louisville KY 40211,Structure Fire,111,111 - Building fire,0,250,250,50000,49750
17449,2012,Summer,7/6/2012,3208 DUBLIN N/A City of Louisville KY 40206,Outside Fire,154,154 - Dumpster or other outside trash receptacle fire,0,100,100,100,0
17533,2012,Summer,7/7/2012,138 E WELLINGTON n/a City of Louisville KY 40214,Structure Fire,111,111 - Building fire,1000,4000,5000,74600,69600
17564,2012,Summer,7/7/2012,3283 TAYLOR n/a City of Louisville KY 40215,Structure Fire,111,111 - Building fire,500,2000,2500,50000,47500
17625,2012,Summer,7/7/2012,2311 CRITTENDEN n/a City of Louisville KY 40217,Vehicle Fire,131,131 - Passenger vehicle fire,0,8000,8000,8000,0
17659,2012,Summer,7/8/2012,3204 TAYLOR N/A City of Louisville KY 40215,Structure Fire,111,111 - Building fire,4000,12000,16000,18000,2000
17659,2012,Summer,7/8/2012,3206 TAYLOR N/A City of Louisville KY 40215,Structure Fire,112,112 - Fires in structure other than in a building,0,150,150,200,50
17823,2012,Summer,7/9/2012,1224 I 64 West N/A City of Louisville KY 40212,Vehicle Fire,131,131 - Passenger vehicle fire,0,1500,1500,1500,0
17946,2012,Summer,7/10/2012,3532 GREENWOOD N/A City of Louisville KY 40211,Vehicle Fire,131,131 - Passenger vehicle fire,0,5500,5500,5500,0
18102,2012,Summer,7/12/2012,801 W KENWOOD na City of Louisville KY 40214,Structure Fire,111,111 - Building fire,15000,30000,45000,175000,130000
18159,2012,Summer,7/13/2012,7326 SOUTHSIDE 6C City of Louisville KY 40214,Structure Fire,111,111 - Building fire,2000,5000,7000,10000,3000
18162,2012,Summer,7/13/2012,W SHIPP City of Louisville KY 40208,Vehicle Fire,131,131 - Passenger vehicle fire,0,500,500,3000,2500
18204,2012,Summer,7/13/2012,226 W SOUTHLAND n/a City of Louisville KY 40214,Structure Fire,111,111 - Building fire,40000,40000,80000,120000,40000
18215,2012,Summer,7/13/2012,4625 S 2ND N/A City of Louisville KY 40214,Outside Fire,161,161 - Outside storage fire,0,50,50,50,0
18231,2012,Summer,7/13/2012,5105 S 1ST 1 City of Louisville KY 40214,Structure Fire,111,111 - Building fire,50,50,100,150000,149900
18236,2012,Summer,7/14/2012,S 39TH City of Louisville KY 40212,Vehicle Fire,131,131 - Passenger vehicle fire,0,4000,4000,4000,0
18239,2012,Summer,7/14/2012,3511 GRAND N/A City of Louisville KY 40211,Vehicle Fire,131,131 - Passenger vehicle fire,0,4000,4000,4000,0
18258,2012,Summer,7/14/2012,1040 CHEROKEE E4 City of Louisville KY 40204,Structure Fire,111,111 - Building fire,0,1000,1000,50000,49000
18278,2012,Summer,7/14/2012,3618 NICHOLS MEADOW NA City of Louisville KY 40215,Structure Fire,111,111 - Building fire,1000,2000,3000,90000,87000
18298,2012,Summer,7/14/2012,3538 BROCKTON 2 City of Cambridge KY 40220,Structure Fire,118,"118 - Trash or rubbish fire, contained",0,100,100,250000,249900
18446,2012,Summer,7/16/2012,2615 W JEFFERSON n/a City of Louisville KY 40212,Structure Fire,111,111 - Building fire,0,500,500,28000,27500
18452,2012,Summer,7/16/2012,200 E BROADWAY n/a City of Louisville KY 40202,Vehicle Fire,131,131 - Passenger vehicle fire,0,4000,4000,4000,0
18489,2012,Summer,7/16/2012,2932 S 5TH N/A City of Louisville KY 40208,Structure Fire,111,111 - Building fire,10000,10000,20000,80000,60000
18580,2012,Summer,7/17/2012,S HANCOCK City of Louisville KY 40203,Structure Fire,111,111 - Building fire,0,100,100,1000,900
18592,2012,Summer,7/17/2012,539 LOUIS COLEMAN JR 6 City of Louisville KY 40211,Vehicle Fire,131,131 - Passenger vehicle fire,500,5000,5500,5000,-500
18605,2012,Summer,7/17/2012,2136 W GAULBERT n/a City of Louisville KY 40210,Vehicle Fire,131,131 - Passenger vehicle fire,0,500,500,500,0
